Food,ChineseName,Category,Description
Tempura,天婦羅,Asian Cuisine,"Batter for deep-frying, often made with wheat flour."
Bao Buns,包子,Asian Cuisine,Soft buns made with wheat flour.
Sesame Balls,芝麻球,Asian Cuisine,Deep-fried snacks made with glutinous rice but often contain wheat in the filling.
Spring Roll Wrappers,春捲皮,Asian Cuisine,Thin sheets made with wheat flour.
Peking Duck Pancakes,烤鴨餅,Asian Cuisine,Thin pancakes made with wheat flour.
Egg Rolls,蛋捲,Asian Cuisine,Fried rolls made with wheat flour wrappers.
Dumpling Wrappers,餃子皮,Asian Cuisine,"Made from wheat flour, used for dumplings."
Scallion Pancakes,蔥油餅,Asian Cuisine,Chinese flatbread made with wheat flour.
Wonton Wrappers,餛飩皮,Asian Cuisine,Chinese-style wrappers made with wheat.
Fish Dumplings,魚餃,Asian Cuisine,Dumplings made with fish filling and wheat-based wrappers.
Roti Canai,馬來煎餅,Asian Cuisine,"Flatbread made from wheat flour, popular in Southeast Asia."
Hot Cross Buns,十字麵包,Bakery,"Sweet, spiced buns made with wheat flour."
Croissants,可頌,Bakery,Flaky pastry made with wheat flour.
Cornbread,玉米麵包,Bakery,Often mixed with wheat flour for texture.
Cinnamon Rolls,肉桂捲,Bakery,Sweet pastry made with wheat flour and cinnamon.
Cinnamon Twist,肉桂捲圈,Bakery,Twisted sweet bread made with wheat flour.
Bagels,貝果,Bakery,Dense bread made with wheat.
Baguettes,法國麵包,Bakery,French bread made from wheat flour.
Challah Bread,哈拉麵包,Bakery,Traditional Jewish braided bread made with wheat flour.
Donuts,甜甜圈,Bakery,"Fried or baked, usually made with flour."
Cake,蛋糕,Bakery,Typically made with flour.
Rye Bread,黑麥麵包,Bakery,"Bread made with rye flour, contains gluten."
Hamburger Buns,漢堡麵包,Bakery,"Bread for hamburgers, made with wheat flour."
Muffins,瑪芬,Bakery,Baked goods made with wheat flour.
Garlic Bread,蒜香麵包,Bakery,"Bread with garlic topping, made with wheat flour."
Hot Dog Buns,熱狗麵包,Bakery,"Bread for hot dogs, made with wheat flour."
Bread,麵包,Bakery,Made from wheat flour.
Breadsticks,麵包棒,Bakery,Thin sticks of bread made from wheat flour.
Beer,啤酒,Beverages,Made from barley or wheat.
Malt Beverages,麥芽飲料,Beverages,Sweetened drinks made with barley or malt.
Flavored Coffees,調味咖啡,Beverages,Some flavored coffees use malt or wheat-based flavoring.
Cream of Wheat,奶油小麥粥,Breakfast,Porridge made from wheat semolina.
French Toast,法式吐司,Breakfast,Bread dipped in egg mixture and fried.
English Muffins,英式鬆餅,Breakfast,"Small, round bread made with wheat flour."
Crispy Pancakes,脆皮煎餅,Breakfast,Savory or sweet pancakes made with wheat flour.
Pancakes,煎餅,Breakfast,Flat cakes made with flour and eggs.
Biscuits,甜餅乾,Breakfast,"Fluffy, baked bread made with wheat flour."
Waffles,鬆餅,Breakfast,Made with wheat-based batter.
Pancake Mix,鬆餅粉,Breakfast,Pre-made mix often containing wheat flour.
Popovers,膨鬆小餅,Breakfast,"Light, airy breakfast bread made from wheat flour."
Cereal,麥片,Breakfast ,"Many types contain wheat, barley, or malt.  (Cereal is not oatmeal.)"
Gravy,肉汁,Condiments,Often thickened with flour.
Miso Paste,味噌,Condiments,Some varieties include barley or wheat.
Malt Vinegar,麥芽醋,Condiments,Vinegar made from malted barley.
Teriyaki Sauce,照燒醬,Condiments,Commonly contains wheat-based soy sauce.
Soy Sauce,醬油,Condiments,Typically contains wheat.
Sweet and Sour Sauce,糖醋醬,Condiments,Sometimes thickened with wheat flour.
